City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,port mathurin,-19.6833,63.4167,26.56,82,100,13.67,MU,1708135929
151,chibougamau,49.9168,-74.3659,-16.21,72,100,3.6,CA,1708136098
152,bom jesus,-9.0744,-44.3586,23.19,91,51,0.71,BR,1708136098
153,necochea,-38.5473,-58.7368,19.2,74,0,6.7,AR,1708136098
154,pudozh,61.8099,36.5345,-8.92,94,100,3.13,RU,1708136098
155,kindu,-2.95,25.95,21.31,99,100,0.31,CD,1708136098
156,bethel,41.3712,-73.414,0.36,61,0,0.0,US,1708135824
157,kapa'a,22.0752,-159.319,23.99,62,40,7.72,US,1708136098
158,ibotirama,-12.1853,-43.2206,24.35,73,99,1.63,BR,1708136098
159,filiatra,37.15,21.5833,10.39,62,6,0.91,GR,1708136098
160,turaif,31.6725,38.6637,5.14,100,0,2.06,SA,1708136098
161,olonkinbyen,70.9221,-8.7187,-8.12,69,5,4.09,SJ,1708136098
162,mirny,62.5353,113.9611,-32.11,94,100,3.31,RU,1708136099
163,lutjenburg,54.2919,10.5895,6.6,89,100,4.02,DE,1708136099
164,high rock,26.6208,-78.2833,20.01,75,97,3.49,BS,1708136099
165,west island,-12.1568,96.8225,28.99,79,40,4.63,CC,1708136099
166,tobelo,1.7284,128.0095,27.89,70,7,2.74,ID,1708136099
167,nuuk,64.1835,-51.7216,-3.66,80,75,9.77,GL,1708136099
168,kodiak,57.79,-152.4072,3.73,93,100,10.29,US,1708136099
169,haiku-pauwela,20.9219,-156.3051,22.01,77,75,5.14,US,1708136099
170,punta arenas,-53.15,-70.9167,14.06,82,75,5.66,CL,1708136099
171,masterton,-40.9597,175.6575,24.5,44,80,3.21,NZ,1708136099
172,qaqortoq,60.7167,-46.0333,0.86,66,100,5.08,GL,1708136100
173,saint-francois,46.4154,3.9054,9.12,94,100,4.12,FR,1708135921
174,ambovombe,-25.1667,46.0833,23.45,91,0,3.97,MG,1708136100
175,bolekhiv,49.0661,23.8643,2.75,68,59,2.34,UA,1708136100
176,okhotsk,59.3833,143.3,-27.08,74,0,4.66,RU,1708136100
177,al kharijah,25.4514,30.5464,11.52,50,2,2.77,EG,1708136100
178,georgetown,5.4112,100.3354,29.96,58,20,3.09,MY,1708135983
179,mariehamn,60.0973,19.9348,-0.08,100,100,5.14,AX,1708136100
180,sao sepe,-30.1606,-53.5653,19.34,91,100,3.36,BR,1708136100
181,ubatuba,-23.4339,-45.0711,23.24,88,15,1.68,BR,1708135864
182,san julian,21.0167,-102.1667,10.28,87,100,1.72,MX,1708136100
183,sola,-13.8833,167.55,28.23,81,100,1.66,VU,1708136100
184,badiyah,22.45,58.8,19.42,57,27,0.85,OM,1708136076
185,mossel bay,-34.1831,22.146,15.9,74,69,5.81,ZA,1708136106
186,bemidji,47.4736,-94.8803,-11.64,77,100,4.63,US,1708136106
187,buka,40.8108,69.1986,-4.12,88,100,2.19,UZ,1708136106
188,griffith,41.5284,-87.4237,-0.53,70,100,5.66,US,1708136073
189,i-n-salah,27.1935,2.4607,20.83,14,98,3.39,DZ,1708136106
190,suruc,36.9761,38.425,7.05,92,18,1.38,TR,1708136106
191,coyhaique,-45.5752,-72.0662,13.97,54,75,4.63,CL,1708136106
192,hamilton,39.1834,-84.5333,-1.12,91,100,8.23,US,1708135996
193,vila franca do campo,37.7167,-25.4333,18.27,99,92,6.45,PT,1708136106
194,lihue,21.9789,-159.3672,23.58,61,40,7.72,US,1708136107
195,akureyri,65.6835,-18.0878,-13.04,85,0,1.54,IS,1708136107
196,pechora,65.1472,57.2244,-24.52,95,7,3.13,RU,1708136107
197,sarbogard,46.8869,18.6204,5.44,66,14,1.99,HU,1708136110
198,luderitz,-26.6481,15.1594,14.91,77,0,6.28,NA,1708136110
199,crane,31.3974,-102.3501,11.1,45,100,9.87,US,1708136110
200,avarua,-21.2078,-159.775,26.13,76,100,7.8,CK,1708136110
201,ilulissat,69.2167,-51.1,-15.99,85,75,4.12,GL,1708136110
202,puerto madero,14.7208,-92.4215,26.11,100,0,0.0,MX,1708136111
203,coahuayana de hidalgo,18.7,-103.6583,20.71,89,100,2.74,MX,1708136111
204,anna regina,7.2644,-58.5077,26.13,77,72,4.08,GY,1708136111
205,bikenibeu village,1.3673,173.1241,29.98,84,40,4.12,KI,1708136111
206,morant bay,17.8815,-76.4093,26.79,83,18,4.12,JM,1708136111
207,prince george,53.9166,-122.753,-4.66,76,0,3.6,CA,1708136111
208,klyuchi,52.2667,79.1667,-24.47,96,99,4.36,RU,1708136081
209,wanning,18.8003,110.3967,22.95,69,82,2.35,CN,1708136111
210,vilyuchinsk,52.9306,158.4028,-8.19,61,93,4.6,RU,1708136111
211,lauro de freitas,-12.8944,-38.3272,28.01,89,75,3.09,BR,1708135982
212,tsiombe,-25.3,45.4833,23.96,90,3,4.37,MG,1708136112
213,balakhta,55.38,91.6,-24.21,96,100,3.9,RU,1708136112
214,stanley,54.868,-1.6985,7.62,94,75,1.03,GB,1708136112
215,tucuma,-0.1833,-50.05,24.86,93,59,2.3,BR,1708136112
216,labrador city,52.9463,-66.9114,-23.79,80,75,2.06,CA,1708136112
217,la sarre,48.8002,-79.1996,-16.41,95,100,2.68,CA,1708136112
218,richards bay,-28.783,32.0377,22.16,88,100,3.92,ZA,1708136113
219,mata-utu,-13.2816,-176.1745,28.98,81,100,7.95,WF,1708136113
220,castillos,-34.1667,-53.8333,19.86,89,77,2.81,UY,1708136113
221,san patricio,28.017,-97.5169,17.4,94,100,1.27,US,1708136024
222,pisco,-13.7,-76.2167,24.03,78,40,6.17,PE,1708136113
223,"laikit, laikit ii (dimembe)",1.4792,124.9735,27.47,70,40,3.6,ID,1708136113
224,shakawe,-18.3667,21.85,23.28,55,85,2.06,BW,1708136113
225,yorkton,51.2167,-102.4677,-11.09,79,20,5.14,CA,1708136113
226,valparaiso,-33.0393,-71.6273,16.8,77,0,2.57,CL,1708136114
227,namibe,-15.1961,12.1522,23.82,86,100,3.0,AO,1708135940
228,hasaki,35.7333,140.8333,12.94,63,97,5.67,JP,1708136114
229,douma,33.5718,36.4027,6.69,84,33,4.48,SY,1708136114
230,praia da vitoria,38.7333,-27.0667,18.14,82,20,8.16,PT,1708136114
231,guerrero negro,27.9769,-114.0611,16.31,77,6,6.52,MX,1708136114
232,itambe,-15.245,-40.6244,21.91,97,100,1.11,BR,1708136114
233,westport,41.1415,-73.3579,2.08,56,0,2.57,US,1708136114
234,tamanrasset,22.785,5.5228,9.95,17,0,1.54,DZ,1708136114
235,ceeldheer,3.8488,47.1806,25.06,82,6,6.99,SO,1708136114
236,grambling,32.5276,-92.714,16.96,88,20,2.06,US,1708136115
237,remire-montjoly,4.9167,-52.2667,27.02,78,75,4.63,GF,1708136115
238,ta`u,-14.2336,-169.5144,27.89,80,100,3.57,AS,1708135856
239,laguna,38.421,-121.4238,14.11,78,0,2.57,US,1708136115
240,kamyzyak,46.11,48.0736,-6.01,68,75,10.0,RU,1708136115
241,sinabang,2.4803,96.3801,27.38,81,100,1.2,ID,1708136115
242,severo-yeniseyskiy,60.3725,93.0408,-29.68,99,100,0.89,RU,1708136121
243,palmer,42.1584,-72.3287,-0.35,50,75,2.57,US,1708136121
244,yanam,16.7333,82.2167,21.5,81,0,1.24,IN,1708136121
245,muromtsevo,56.3724,75.2418,-23.41,97,99,4.07,RU,1708136121
246,revda,56.801,59.9303,-23.35,91,95,1.98,RU,1708136121
247,kristinestad,62.2743,21.376,0.61,98,100,4.69,FI,1708136121
248,keflavik,64.0049,-22.5624,4.24,81,75,12.35,IS,1708136090
249,camana,-16.6228,-72.7111,23.43,87,100,3.05,PE,1708136121
250,al artawiyah,26.5053,45.3444,14.73,44,0,4.28,SA,1708136121
251,edson,53.5835,-116.4356,-2.92,42,0,3.09,CA,1708136121
252,omaruru,-21.4333,15.9333,18.37,38,7,1.17,NA,1708136122
253,djougou,9.7085,1.666,23.66,12,100,1.72,BJ,1708136122
254,surami,42.0243,43.5556,5.09,94,97,1.36,GE,1708136122
255,suva,-18.1416,178.4415,29.71,79,75,5.66,FJ,1708136122
256,kodinsk,58.6881,99.1844,-25.85,96,100,1.19,RU,1708136122
257,nar'yan-mar,67.6713,53.087,-21.61,88,14,4.02,RU,1708136122
258,minas de marcona,-15.2119,-75.1103,19.07,83,97,5.25,PE,1708136122
259,es castell,39.8795,4.2854,13.38,94,75,10.8,ES,1708136122
260,tozeur,33.9197,8.1335,16.22,33,40,1.54,TN,1708136123
261,igrim,63.1906,64.4162,-32.0,100,13,1.07,RU,1708136123
262,sitka,57.0531,-135.33,10.94,28,0,6.69,US,1708136123
263,novaya igirma,57.1334,103.9112,-26.7,93,100,2.16,RU,1708136123
264,vilyuysk,63.7553,121.6247,-35.56,96,94,2.68,RU,1708136123
265,reggane,26.7158,0.1714,21.45,22,0,2.79,DZ,1708136123
266,kizhake chalakudi,10.3,76.35,23.98,83,100,2.57,IN,1708136123
267,antofagasta,-23.65,-70.4,20.6,81,67,3.02,CL,1708136123
268,egilsstadir,65.2653,-14.3948,-10.05,92,0,1.03,IS,1708136123
269,gelemso,8.8167,40.5167,18.55,50,40,1.03,ET,1708136124
270,hotan,37.0997,79.9269,9.4,25,100,4.43,CN,1708136124
271,garhwa,24.1833,83.8167,16.51,51,0,1.59,IN,1708136124
272,uporovo,56.3109,66.2693,-27.8,100,96,1.91,RU,1708136124
273,mirnyy,62.5353,113.9611,-32.11,94,100,3.31,RU,1708136099
274,riviere-du-loup,47.8304,-69.5342,-7.74,78,100,5.17,CA,1708135855
275,darnah,32.767,22.6367,13.92,71,52,6.04,LY,1708136124
276,yangambi,0.8102,24.4336,21.3,98,97,0.81,CD,1708136124
277,burao,9.5221,45.5336,19.32,83,0,2.08,SO,1708136124
278,brookings,44.3114,-96.7984,-16.08,83,0,3.09,US,1708135912
279,teknaf,20.8624,92.3058,21.53,55,0,3.15,BD,1708136124
